종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"047770","코데즈컴바인","KOSDAQ","중견기업부","3050","-140","-4.39","3050","3180","2985","2.0","6109830830","115419936100","38.0"
"080530","코디","KOSDAQ","중견기업부","1057","-15","-1.40","1080","1085","1055","0.0","36286704","58674994875","56.0"
"417310","코람코더원리츠","KOSPI",,"8870","30","0.34","8820","8890","8650","0.0","1522158665","358348000000","40.0"
"357120","코람코라이프인프라리츠","KOSPI",,"4395","-15","-0.34","4360","4410","4360","0.0","535487597","427788880830","97.0"
"104540","코렌텍","KOSDAQ","기술성장기업부","6540","-140","-2.10","6680","6800","6380","0.0","530040990","83618739600","13.0"
"027050","코리아나","KOSDAQ","중견기업부","2395","-95","-3.82","2480","2495","2390","1.0","2745803725","95800000000","40.0"
"007815","코리아써우","KOSPI",,"13900","390","2.89","13690","13950","13070","0.0","360012290","41209191000","3.0"
"007810","코리아써키트","KOSPI",,"47350","-400","-0.84","48350","49250","45800","0.0","22218264325","1118442559850","24.0"
"00781K","코리아써키트2우B","KOSPI",,"10560","110","1.05","10310","10570","10310","0.0","17212750","8275861440","1.0"
"190650","코리아에셋투자증권","KOSDAQ","우량기업부","7200","30","0.42","7160","7200","7150","0.0","64375315","45993600000","6.0"
"123410","코리아에프티","KOSDAQ","우량기업부","8140","-30","-0.37","8170","8240","8010","0.0","2703349745","226626260960","28.0"
"003690","코리안리","KOSPI",,"12020","490","4.25","11520","12190","11480","1.0","15729693530","2341748792620","195.0"
"036690","코맥스","KOSDAQ","관리종목(소속부없음)","2885","0","0.00","0","0","0","0.0","0","45885746130","16.0"
"049430","코메론","KOSDAQ","우량기업부","12920","-80","-0.62","13000","13050","12610","0.0","804926135","116900160000","9.0"
"183300","코미코","KOSDAQ GLOBAL","우량기업부","95900","1100","1.16","97600","97600","93300","0.0","19110407850","1003179595600","10.0"
"041960","코미팜","KOSDAQ","벤처기업부","7750","220","2.92","7540","7870","7470","0.0","3333445070","571629870750","74.0"
